wi,t,p_true,p_pred
7,187,13.383,13.348888397216797
1,157,12.258,11.853578567504883
5,190,10.164,10.330784797668457
8,48,19.194,18.827791213989258
2,36,28.416,28.27212905883789
7,229,14.37,14.498157501220703
6,96,16.574,16.355985641479492
4,123,20.94,20.864837646484375
1,83,10.533,10.628655433654785
9,177,14.792,14.771183013916016
3,119,14.82,14.825777053833008
8,28,20.853,20.897659301757812
2,245,24.315,24.290739059448242
2,21,28.26,28.104164123535156
8,106,16.386,16.591672897338867
3,221,14.944,14.942472457885742
6,74,18.013,17.85807228088379
3,104,14.72,14.667863845825195
4,3,16.856,16.624452590942383
9,180,14.792,14.771183013916016
3,209,14.645,14.65255069732666
2,211,22.166,22.421541213989258
1,174,9.565,9.673377990722656
8,227,23.97,23.894960403442383
1,18,3.692,4.801944255828857
1,169,9.565,9.673391342163086
9,29,15.24,15.225611686706543
9,86,14.022,13.88696002960205
1,217,9.495,9.583995819091797
7,46,13.556,13.605634689331055
2,59,28.817,28.659639358520508
3,237,15.258,15.260525703430176
3,98,12.611,12.736763000488281
2,13,28.438,28.29545021057129
7,10,20.229,20.355873107910156
4,144,21.945,21.938865661621094
6,105,25.662,25.632600784301758
5,79,16.001,15.767722129821777
1,238,13.518,13.355582237243652
8,39,21.738,21.68330192565918
8,240,24.298,24.30704116821289
8,97,19.054,18.730958938598633
9,101,15.496,15.409411430358887
5,159,13.435,13.546703338623047
3,70,16.046,15.91840934753418
3,40,15.485,15.367095947265625
7,165,13.775,13.778602600097656
3,122,14.844,14.838207244873047
7,103,13.433,13.373075485229492
1,131,12.888,12.752680778503418
5,44,15.976,15.742318153381348
5,165,12.605,12.591340065002441
7,13,14.199,14.328672409057617
4,237,22.299,22.32975959777832
8,232,24.298,24.3070125579834
7,159,13.961,14.043819427490234
6,68,27.433,27.34540557861328
4,43,22.465,22.587448120117188
9,13,20.285,20.307435989379883
8,32,19.077,18.846254348754883
2,218,22.317,22.582666397094727
9,24,15.251,15.241140365600586
9,124,15.226,15.14917278289795
8,47,21.391,21.30232048034668
9,218,15.531,15.516168594360352
3,111,14.736,14.785054206848145
4,52,22.425,22.571287155151367
8,230,24.295,24.304920196533203
5,82,12.216,11.743350982666016
7,244,14.381,14.507513999938965
9,244,16.319,16.479530334472656
6,72,18.977,18.738985061645508
1,44,10.899,10.707326889038086
8,41,21.806,21.738740921020508
9,20,15.226,15.22038745880127
1,105,7.609,7.8396711349487305
3,81,13.6,13.709280967712402
3,221,14.944,14.942472457885742
9,196,14.588,14.574850082397461
8,36,21.164,21.227115631103516
9,248,16.319,16.479530334472656
7,41,13.993,14.069445610046387
9,183,14.792,14.771183013916016
4,5,16.692,16.417932510375977
6,182,21.938,21.946321487426758
4,112,19.464,18.969240188598633
7,60,13.613,13.60382080078125
3,77,15.979,15.87421703338623
5,59,16.004,15.770040512084961
5,59,16.004,15.770040512084961
7,74,12.976,12.909307479858398
2,131,24.09,24.072370529174805
2,162,28.934,28.609861373901367
5,163,13.436,13.54700756072998
4,25,21.968,22.08905601501465
2,226,22.671,22.975879669189453
5,166,12.002,11.97114086151123
7,85,13.358,13.301408767700195
1,180,9.565,9.673377990722656
2,191,22.093,22.350143432617188
4,62,17.668,17.9520206451416
1,248,13.518,13.355582237243652
5,212,10.289,10.4487886428833
9,73,14.846,14.868063926696777
7,43,14.0,14.078391075134277
8,70,21.861,21.79724884033203
2,245,24.315,24.290739059448242
5,34,9.634,9.370803833007812
1,229,13.49,13.348876953125
4,160,22.189,22.335979461669922
6,39,27.358,27.26616859436035
6,233,22.808,22.869447708129883
3,234,15.258,15.260525703430176
6,132,26.622,26.658761978149414
7,61,13.522,13.520030975341797
6,138,26.622,26.65879249572754
2,146,24.064,24.049654006958008
5,69,15.996,15.766140937805176
5,163,13.436,13.54700756072998
5,174,11.919,11.935490608215332
6,206,21.761,21.80265998840332
5,158,13.428,13.544270515441895
7,169,13.602,13.568686485290527
8,243,24.298,24.30704116821289
5,10,14.886,14.81729507446289
9,193,14.573,14.560234069824219
5,74,12.712,12.88107967376709
3,143,15.304,15.281759262084961
4,188,20.72,20.666156768798828
6,188,21.571,21.620086669921875
7,98,13.095,12.824649810791016
8,242,24.298,24.30704116821289
2,122,21.899,22.3193302154541
1,77,10.813,10.654600143432617
9,36,15.541,15.511013984680176
6,63,27.142,27.174644470214844
8,41,21.806,21.738740921020508
2,88,21.899,22.241012573242188
7,59,14.279,14.358116149902344
3,65,13.385,13.496642112731934
4,24,21.968,22.089054107666016
2,13,28.438,28.29545021057129
1,14,10.637,10.414872169494629
5,88,13.845,13.516965866088867
7,219,13.525,13.502701759338379
5,129,13.119,13.223211288452148
4,12,22.856,23.05139923095703
8,144,20.849,20.96452522277832
7,53,13.998,14.077498435974121
5,13,14.323,14.264273643493652
1,28,10.511,10.243699073791504
5,184,9.727,9.885723114013672
8,30,20.915,20.96526336669922
8,151,20.838,20.95526123046875
8,198,19.547,19.71175765991211
7,5,19.095,18.793373107910156
9,21,15.248,15.238567352294922
1,236,13.518,13.355582237243652
5,83,15.536,15.564173698425293
2,116,21.161,21.450233459472656
3,167,14.244,14.24155330657959
3,12,15.229,15.140103340148926
3,160,15.227,15.126426696777344
2,73,28.228,28.09971046447754
2,238,24.315,24.290739059448242
9,197,14.588,14.57500171661377
5,102,13.879,13.540940284729004
5,67,15.364,15.424077987670898
9,246,16.319,16.479530334472656
2,202,22.142,22.394433975219727
8,105,16.411,16.6147403717041
4,11,22.858,23.052520751953125
3,7,15.711,15.764031410217285
9,23,15.251,15.241107940673828
4,71,22.501,22.62322235107422
4,22,21.968,22.08892059326172
5,157,13.362,13.517770767211914
8,145,20.83,20.94672203063965
3,128,15.013,15.025824546813965
5,216,11.155,11.245709419250488
6,75,26.39,26.38427734375
9,203,14.588,14.57502269744873
1,46,10.471,10.220556259155273
7,92,13.916,13.879393577575684
6,219,21.917,21.939685821533203
9,213,15.421,15.410785675048828
8,37,21.207,21.259294509887695
2,31,28.255,28.093013763427734
9,79,15.812,15.771392822265625
2,117,21.427,21.777101516723633
8,121,20.411,20.415800094604492
2,8,30.066,30.1229248046875
3,94,14.883,14.848641395568848
2,52,28.763,28.636123657226562
7,97,13.044,12.75111198425293
3,202,14.622,14.630348205566406
8,206,19.673,19.857566833496094
6,191,21.571,21.620094299316406
7,241,14.381,14.507513999938965
8,77,21.602,21.49123764038086
3,122,14.844,14.838207244873047
7,239,14.381,14.507513999938965
8,228,24.168,24.158466339111328
7,126,13.646,13.608107566833496
6,102,26.508,26.408170700073242
5,223,12.65,12.440889358520508
1,23,10.534,10.27659797668457
7,49,12.806,12.537223815917969
1,218,9.495,9.58416748046875
6,206,21.761,21.80265998840332
1,107,7.84,8.138238906860352
4,110,20.5,20.386581420898438
1,93,8.167,8.526945114135742
4,38,22.082,22.214311599731445
9,172,14.792,14.771183013916016
9,25,15.251,15.241144180297852
1,142,13.04,12.943679809570312
8,179,20.119,20.1661376953125
3,11,15.23,15.140613555908203
8,143,20.918,21.026241302490234
8,181,20.119,20.1661376953125
8,14,21.549,21.719606399536133
4,146,21.937,21.93450164794922
3,186,14.068,14.084848403930664
6,229,22.789,22.859210968017578
4,134,21.947,21.94535255432129
9,5,19.318,19.110685348510742
5,200,10.207,10.369683265686035
4,30,21.935,22.054414749145508
7,55,13.373,13.45108699798584
7,176,13.602,13.568656921386719
6,127,26.227,26.211511611938477
3,131,15.255,15.256973266601562
3,235,15.258,15.260525703430176
6,51,26.857,27.039888381958008
6,95,26.105,26.036617279052734
3,214,14.508,14.517416954040527
7,204,13.391,13.35899829864502
1,20,10.508,10.270362854003906
9,17,14.63,14.55960464477539
4,100,21.368,21.29435920715332
5,7,22.759,22.352609634399414
6,116,25.433,25.39886474609375
1,100,8.143,8.519466400146484
9,222,16.186,16.296293258666992
7,218,13.525,13.50265884399414
9,218,15.531,15.516168594360352
2,30,28.254,28.09278678894043
4,241,22.299,22.32975959777832
4,77,22.321,22.49673080444336
6,230,22.806,22.86838722229004
9,151,15.394,15.383071899414062
4,157,22.147,22.317209243774414
7,106,12.99,12.87100601196289
7,86,13.158,13.021035194396973
3,232,15.258,15.260520935058594
2,44,28.807,28.647653579711914
2,60,27.946,27.66855239868164
1,18,3.692,4.801944255828857
2,20,28.231,28.097801208496094
3,134,15.255,15.257061958312988
8,164,20.826,20.952512741088867
5,109,10.94,10.939298629760742
3,4,18.717,18.691179275512695
7,139,13.912,13.963835716247559
3,182,14.24,14.240620613098145
6,229,22.789,22.859210968017578
2,32,12.013,12.87545394897461
7,42,13.993,14.069723129272461
2,214,21.916,22.13484001159668
1,53,10.895,10.706319808959961
1,143,12.917,12.769662857055664
3,200,14.622,14.630348205566406
7,232,14.381,14.507501602172852
3,242,15.258,15.260525703430176
7,9,20.358,20.46765899658203
5,251,13.321,13.269025802612305
5,138,13.187,13.256553649902344
9,228,16.262,16.407812118530273
5,164,13.436,13.54700756072998
6,10,24.946,24.862150192260742
1,125,7.888,8.182134628295898
5,130,13.18,13.253473281860352
8,198,19.547,19.71175765991211
1,184,9.31,9.330224990844727
6,157,22.684,22.676044464111328
7,150,13.908,13.958806037902832
8,18,19.195,19.05693817138672
1,247,13.518,13.355582237243652
9,210,15.421,15.410798072814941
3,93,15.059,15.032585144042969
8,190,19.525,19.690153121948242
7,78,14.267,14.343507766723633
1,18,3.692,4.801944255828857
6,163,22.739,22.69882583618164
4,227,21.544,21.519376754760742
9,152,15.394,15.383071899414062
2,228,23.811,23.924278259277344
1,8,11.891,12.021414756774902
5,134,13.187,13.256552696228027
